Station,,,,,,Ground Level outside Station,Mean,Annual Entry + Exit million,Line(s)[*],Opened[3],Usage[5]
Dollis Hill,522207,185132,51.55185062,-0.238783341,3,37,139.4,5289,Jubilee[e],October 1 1909,3.293
Drayton Green,516002,180998,51.51600472,-0.32959685,4,0,0,0,,,
Drayton Park,531426,185499,51.55307832,-0.105755779,2,0,0,0,,,
Ealing Broadway,517920,180915,51.51486201,-0.301995973,3,33,127.9,27510,District,July 1 1879,17.86
Ealing Common,518963,180426,51.51024869,-0.28713701,3,29,124,5343,District,July 1 1879,3.4
Earls Court,525457,178480,51.4913567,-0.194299408,1,8,94.79,0,District,October 30 1871,20.43
Earlsfield,526081,173030,51.44223883,-0.187258302,3,0,0,0,Piccadilly,resited 1 February 1878,
East Acton,521656,181159,51.51626344,-0.248097815,2,12,117.9,5816,Central,August 3 1920,3.9
East Croydon,532904,165801,51.37571611,-0.091849131,5,0,0,0,,,
East Dulwich,533449,175375,51.46162559,-0.080422179,2,0,0,0,,,
East Finchley,527242,189204,51.58733256,-0.164729454,3,83,187.4,9005,Northern,July 3 1939,5.95
East Ham,542373,184255,51.53924616,0.05153071,3,11,105.7,19148,District[j],June 2 1902,12.67
East India,538729,180753,51.50868401,-0.002355924,2,0,0,0,DLR (Beckton Branch),March 28 1994,No Data
East Putney,524387,174840,51.45887981,-0.210983843,2,17,125,8615,District,June 3 1889,5.81
Eastcote,511191,187627,51.57655187,-0.396808871,5,53,148.1,3778,Metropolitan,May 26 1906,2.46
Eden Park,537396,167598,51.39079611,-0.026655345,5,0,0,0,Piccadilly[k],,
Edgware,519527,192009,51.61422966,-0.275079226,5,59,154.6,5258,Northern,August 18 1924,3.72
Edgware Road (Bakerloo),527026,181778,51.52064538,-0.170525141,1,32,107.13,0,Bakerloo,June 15 1907,3.71
Edgware Road (Circle/District/Hammersmith and City),527227,181711,51.51999806,-0.167653844,1,30,124.8,0,Hammersmith & City[c][d],October 1 1863,6.04
Edmonton Green,534273,193590,51.62511571,-0.061624575,4,0,0,0,District,,
Elephant and Castle,531940,179144,51.49584939,-0.100724312,1,3,82.3875,0,Northern,December 18 1890,18.54
Elm Park,552446,185647,51.54912456,0.197267102,6,18,112.3,3611,District,May 13 1935,2.4
Elmers End,535788,168389,51.39829111,-0.04944946,4,0,0,0,,,
Elmstead Woods,542247,170656,51.41708063,0.044243721,4,0,0,0,,,
Elstree and Borehamwood,519098,196299,51.65287561,-0.279814167,6,0,0,0,,,
Eltham,542690,174962,51.45566221,0.052343698,4,0,0,0,,,
Elverson Road,537848,176243,51.46837219,-0.016801982,2,0,0,0,DLR (Lewisham Branch),November 11 1999,No Data
Embankment,530406,180380,51.50731251,-0.12235293,1,5,91.13833333,31042,District[i],May 30 1870,20.85
Emerson Park,553971,187918,51.56911488,0.22023736,6,0,0,0,Bakerloo,,
Enfield Chase,532181,196607,51.65272212,-0.090689753,5,0,0,0,Northern,,
Enfield Lock,536437,198737,51.67084613,-0.028376612,6,0,0,0,Circle,,
Enfield Town,532970,196544,51.65197008,-0.07931547,5,0,0,0,,,
Epping,546197,201552,51.69368615,0.113840019,6,81,179.5,3561,Central,September 25 1949,2.48
Epsom Downs,522805,159756,51.32365947,-0.238955878,6,0,0,0,,,
Erith,551075,178096,51.48164765,0.174275688,6,0,0,0,,,
Essex Road,532114,184132,51.54063332,-0.096351109,2,0,0,0,,,
Euston,529587,182735,51.52866435,-0.133282058,1,0,0,42195,Northern,June 22 1907,28.13
Euston Square,529587,182735,51.52866435,-0.133282058,1,25,118.1,17759,Metropolitan[b],January 10 1863,10.58
Ewell East,522571,162152,51.34524391,-0.241488646,6,0,0,0,Circle,,
Ewell West,521473,162654,51.34999117,-0.257074776,6,0,0,0,Hammersmith & City,,
Fairlop,544902,190655,51.59610953,0.090607714,4,30,135.2,1140,Central,May 31 1948,0.8
Falconwood,544498,175394,51.45908579,0.078524085,4,0,0,0,,,
